Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1,5,"package.json",0,0,"{\n  ""name"": ""AkandeChips"",\n  ""displayName"": ""Akande"",\n  ""description"": ""Chips Programmimg Language"",\n  ""version"": ""0.0.1"",\n  ""engines"": {\n    ""vscode"": ""^1.102.0""\n  },\n  ""categories"": [\n    ""Other""\n  ],\n  ""activationEvents"": [],\n  ""main"": ""./dist/extension.js"",\n  ""contributes"": {\n    ""commands"": [\n      {\n        ""command"": ""AkandeChips.helloWorld"",\n        ""title"": ""Hello World""\n      }\n    ],\n    ""languages"": [\n      {\n        ""id"": ""akandechips"",\n        ""aliases"": [""AkandeChips"", ""akandechips""],\n        ""extensions"": ["".akande"", "".chips""],\n        ""configuration"": ""./language-configuration.json""\n      }\n    ],\n    ""grammars"": [\n      {\n        ""language"": ""akandechips"",\n        ""scopeName"": ""source.akandechips"",\n        ""path"": ""./syntaxes/akandechips.tmLanguage.json""\n      }\n    ],\n    ""snippets"": [\n      {\n        ""language"": ""akandechips"",\n        ""path"": ""./snippets/akandechips.code-snippets""\n      }\n    ]\n  },\n  ""scripts"": {\n    ""vscode:prepublish"": ""npm run package"",\n    ""compile"": ""webpack"",\n    ""watch"": ""webpack --watch"",\n    ""package"": ""webpack --mode production --devtool hidden-source-map"",\n    ""compile-tests"": ""tsc -p . --outDir out"",\n    ""watch-tests"": ""tsc -p . -w --outDir out"",\n    ""pretest"": ""npm run compile-tests && npm run compile && npm run lint"",\n    ""lint"": ""eslint src"",\n    ""test"": ""vscode-test""\n  },\n  ""devDependencies"": {\n    ""@types/mocha"": ""^10.0.10"",\n    ""@types/node"": ""20.x"",\n    ""@types/vscode"": ""^1.102.0"",\n    ""@typescript-eslint/eslint-plugin"": ""^8.31.1"",\n    ""@typescript-eslint/parser"": ""^8.31.1"",\n    ""@vscode/test-cli"": ""^0.0.11"",\n    ""@vscode/test-electron"": ""^2.5.2"",\n    ""eslint"": ""^9.25.1"",\n    ""ts-loader"": ""^9.5.2"",\n    ""typescript"": ""^5.8.3"",\n    ""webpack"": ""^5.99.7"",\n    ""webpack-cli"": ""^6.0.1""\n  },\n  ""dependencies"": {\n    ""vscode-languageclient"": ""^9.0.1""\n  }\n}\n",json,tab
2,325447,"package.json",0,1,"{",json,content
3,325476,"package.json",2,24,"  ""name"": ""AkandeChips"",",json,content
4,325506,"package.json",27,26,"  ""displayName"": ""Akande"",",json,content
5,325526,"package.json",54,46,"  ""description"": ""Chips Programmimg Language"",",json,content
6,325542,"package.json",101,21,"  ""version"": ""0.0.1"",",json,content
7,325560,"package.json",123,14,"  ""engines"": {",json,content
8,325576,"package.json",138,24,"    ""vscode"": ""^1.102.0""",json,content
9,325593,"package.json",163,4,"  },",json,content
10,325612,"package.json",168,17,"  ""categories"": [",json,content
11,325635,"package.json",186,11,"    ""Other""",json,content
